,customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,order_date,delivery_date,sales_id,product_id,sale_price_per_unit,QTY_in_stock,total_price,product_type,product_name,size,color,purchase_price_per_unit,order_QTY,order_day,order_day_name,order_month,delivery_day,diff_order_and_delivary
0,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2245,211,106,3,318,Shirt,Chambray,S,red,105,72,4,Sunday,4,6,2
1,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2246,783,91,2,182,Jacket,Pullover,L,yellow,114,43,4,Sunday,4,6,2
2,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,3324,525,98,2,196,Jacket,Leather,XS,red,113,67,6,Saturday,3,1,5
3,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,3325,792,91,2,182,Jacket,Pullover,M,blue,114,44,6,Saturday,3,1,5
4,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,3326,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,6,Saturday,3,1,5
5,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,3327,789,91,3,273,Jacket,Pullover,XL,green,114,65,6,Saturday,3,1,5
6,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,2021-02-18,2021-03-01,3639,197,98,3,294,Shirt,Camp Collared,M,blue,112,65,18,Thursday,2,1,17
7,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,2021-02-18,2021-03-01,3640,558,98,1,98,Jacket,Leather,L,violet,113,78,18,Thursday,2,1,17
8,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2292,1118,115,3,345,Trousers,Cropped,L,violet,99,40,21,Friday,5,23,2
9,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2293,1259,112,2,224,Trousers,Tracksuit Bottoms,XL,violet,91,60,21,Friday,5,23,2
10,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2294,811,117,1,117,Jacket,Shearling,S,orange,95,53,21,Friday,5,23,2
11,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2295,408,119,1,119,Shirt,Casual Slim Fit,L,blue,113,75,21,Friday,5,23,2
12,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2296,1010,106,2,212,Trousers,Wool,XS,violet,111,80,21,Friday,5,23,2
13,10,Susanetta Wilshin,Bigender,70,615 Hayley KnollSuite 454,2118,Joelburgh,Western Australia,Australia,595,45626,2021-03-09,2021-03-29,2990,1023,90,3,270,Trousers,Relaxed Leg,L,orange,95,78,9,Tuesday,3,29,20
14,11,Michaeline McIndrew,Agender,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia,560,41952,2021-05-28,2021-06-05,2800,144,91,2,182,Shirt,Linen,XL,red,116,47,28,Friday,5,5,23
15,11,Michaeline McIndrew,Agender,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia,560,41952,2021-05-28,2021-06-05,2801,590,100,2,200,Jacket,Bomber,XS,violet,90,75,28,Friday,5,5,23
16,12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,630,770,91,1,91,Jacket,Pullover,XS,red,114,54,19,Saturday,6,1,18
17,12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,631,516,102,2,204,Jacket,Windbreaker,S,indigo,109,62,19,Saturday,6,1,18
18,12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,632,989,106,2,212,Trousers,Wool,XL,orange,111,56,19,Saturday,6,1,18
19,12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,633,407,119,2,238,Shirt,Casual Slim Fit,M,blue,113,61,19,Saturday,6,1,18
20,12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,634,840,113,2,226,Trousers,Chinos,XS,red,100,69,19,Saturday,6,1,18
21,12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,635,185,98,2,196,Shirt,Camp Collared,XS,yellow,112,55,19,Saturday,6,1,18
22,12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,636,653,93,3,279,Jacket,Coach,L,blue,115,80,19,Saturday,6,1,18
23,12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,637,1194,105,1,105,Trousers,Pleated,XL,red,90,58,19,Saturday,6,1,18
24,13,Marabel Swinfon,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,398,31626,2021-09-28,2021-10-13,1980,503,102,1,102,Jacket,Windbreaker,L,yellow,109,70,28,Tuesday,9,13,15
25,13,Marabel Swinfon,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,398,31626,2021-09-28,2021-10-13,1981,472,118,1,118,Jacket,Puffer,M,green,110,72,28,Tuesday,9,13,15
26,13,Marabel Swinfon,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,398,31626,2021-09-28,2021-10-13,1982,611,112,1,112,Jacket,Cardigan,S,green,118,62,28,Tuesday,9,13,15
27,15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,973,758,109,3,327,Jacket,Peacoat,L,blue,102,64,24,Tuesday,8,7,17
28,15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,974,1158,99,2,198,Trousers,High-Waisted,L,red,98,52,24,Tuesday,8,7,17
29,15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,975,964,97,2,194,Trousers,Slim-Fit,XL,green,119,67,24,Tuesday,8,7,17
30,15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,976,135,92,2,184,Shirt,Denim,XS,violet,115,73,24,Tuesday,8,7,17
